disease,description,precaution 1,precaution 2,precaution 3,min_age,max_age,sex_type,department
mononucleosis,"Infectious mononucleosis is an infection usually caused by Epstein–Barr virus (EBV). Symptoms include fever, sore throat, enlarged lymph nodes, and fatigue.",Rest adequately,Avoid contact sports (splenic risk),Maintain hydration,10,30,both,General Medicine
nasal polyp,"Nasal polyps are noncancerous growths within the nose or sinuses. Symptoms include trouble breathing through the nose, loss of smell, decreased taste, post nasal drip, and a runny nose. The growths are sac-like, movable, and nontender.",Use prescribed nasal corticosteroids,Avoid allergens,Saline nasal irrigation,15,70,both,ENT
shoulder impingement syndrome,"Shoulder impingement syndrome involves tendonitis of the rotator cuff muscles as they pass through the subacromial space. It can result in pain, weakness, and loss of movement at the shoulder.",Avoid overhead strain,Shoulder physiotherapy,NSAIDs if prescribed,20,65,both,Orthopedics
neuropathy due to drugs,Peripheral neuropathy refers to damage affecting the nerves. Drug-induced neuropathy may impair sensation or movement depending on affected fibers.,Review offending medication,Vitamin supplementation if deficient,Glycemic control (if diabetic),18,80,both,Neurology
obesity,"Obesity is a medical condition in which excess body fat accumulates to the extent that it negatively affects health. It is defined as BMI over 30 kg/m² and is associated with cardiovascular disease, type 2 diabetes, sleep apnea, and osteoarthritis.",Calorie-controlled diet,Regular physical activity,Behavioral counseling,5,80,both,Endocrinology
obsessive–compulsive disorder,"Obsessive–compulsive disorder (OCD) is a mental disorder characterized by intrusive thoughts and repetitive behaviors performed to relieve distress, impairing daily functioning.",Cognitive behavioral therapy (CBT),SSRI medication if prescribed,Stress management,10,60,both,Psychiatry
onychomycosis,"Onychomycosis is a fungal infection of the nail causing discoloration, thickening, and separation from the nail bed.",Keep nails dry,Antifungal therapy (topical/oral),Avoid sharing nail tools,15,80,both,Dermatology
obstructive sleep apnea,"Obstructive sleep apnea (OSA) is a sleep disorder characterized by recurrent episodes of upper airway obstruction during sleep, leading to reduced breathing and oxygen levels.",Weight reduction,Use CPAP therapy,Avoid alcohol before sleep,20,75,both,Pulmonology
osteoarthritis,"Osteoarthritis is a degenerative joint disease resulting from breakdown of joint cartilage and underlying bone, causing joint pain and stiffness.",Low-impact exercise,Weight management,NSAIDs if prescribed,40,90,both,Orthopedics
osteoporosis,Osteoporosis is a systemic skeletal disorder characterized by low bone mass and increased fracture risk due to bone weakening.,Calcium & vitamin D intake,Weight-bearing exercise,Fall prevention strategies,45,90,both,Endocrinology
otitis media,"Otitis media is an inflammatory disease of the middle ear, often presenting with ear pain and sometimes fever.",Complete antibiotic course if prescribed,Pain management,Avoid bottle feeding while lying down (infants),0,12,both,Pediatrics
ovarian cyst,"An ovarian cyst is a fluid-filled sac within the ovary. They usually cause no symptoms, but may produce bloating or lower abdominal pain.",Regular ultrasound follow-up,Avoid heavy exertion if painful,Seek care if sudden severe pain,15,50,female,Obstetrics & Gynecology
parkinson disease,"Parkinson's disease is a neurodegenerative disease affecting motor and non-motor systems. Motor symptoms include tremor, bradykinesia, rigidity, and balance difficulty. Non-motor symptoms include sleep abnormalities, anosmia, and cognitive impairment.",Regular physiotherapy,Adherence to dopaminergic therapy,Fall prevention measures,55,85,both,Neurology
paronychia,"Paronychia is an inflammation of the skin around the nail, often due to bacteria or fungi.",Keep area clean and dry,Warm saline soaks,Avoid nail biting or trauma,5,70,both,Dermatology
PCOS,"Polycystic ovary syndrome (PCOS) is the most common hormonal disorder in women of reproductive age. The name comes from the observation of small follicles that often appear on the ovaries, though not all individuals have these follicles.",Weight management,Regular exercise,Monitor menstrual cycle and insulin levels,12,45,female,Endocrinology
pelvic inflammatory disease,"Pelvic inflammatory disease (PID) is an infection of the upper female reproductive system including uterus, fallopian tubes, and ovaries. Symptoms may include lower abdominal pain, discharge, fever, painful urination, or irregular bleeding.",Complete full antibiotic course,Safe sexual practices,Early treatment of STIs,15,45,female,Obstetrics & Gynecology
peptic ulcer disease,"Peptic ulcer disease refers to damage of the gastric mucosa or duodenum. Symptoms include upper abdominal burning pain, sometimes improving or worsening with meals. Complications may include bleeding or perforation.",Avoid NSAIDs,Test and treat H. pylori,Avoid smoking and alcohol,18,80,both,Gastroenterology
plantar fasciitis,"Plantar fasciitis is inflammation of the plantar fascia causing heel pain, especially with first steps in the morning.",Stretching exercises,Supportive footwear,Weight reduction if overweight,20,70,both,Orthopedics
pneumonia,"Pneumonia is an inflammatory condition of the lung affecting alveoli. Symptoms include cough, chest pain, fever, and difficulty breathing.",Complete prescribed antibiotics,Adequate hydration,Monitor oxygen symptoms,0,85,both,Pulmonology
psoriasis,"Psoriasis is a chronic autoimmune disease characterized by red, itchy, scaly skin patches.",Regular moisturization,Avoid skin injury,Topical corticosteroids as prescribed,10,75,both,Dermatology
PTSD,"Post-traumatic stress disorder (PTSD) develops after experiencing a traumatic event. Symptoms include intrusive memories, avoidance, mood changes, and increased fight-or-flight response lasting more than a month.",Trauma-focused CBT,Adequate sleep hygiene,SSRI medication if prescribed,10,70,both,Psychiatry
presbyacusis,"Presbycusis is progressive age-related hearing loss, most marked at higher frequencies.",Hearing aids if needed,Avoid loud noise exposure,Regular audiometry testing,55,95,both,ENT
raynaud disease,"Raynaud syndrome, also known as Raynaud's phenomenon, is a medical condition in which the spasm of small arteries causes episodes of reduced blood flow to end arterioles. Typically the disease affects the fingers, and, less commonly, the toes, though it rarely also affects the nose, ears, nipples, or lips. The episodes classically result in the affected part turning white and then blue. Often, numbness or pain occurs. As blood flow returns, the area turns red and burns. The episodes typically last minutes but can last several hours.",Avoid cold exposure and keep extremities warm,Stop smoking and limit caffeine,Practice stress reduction techniques,15,60,both,Rheumatology
restless leg syndrome,"Restless legs syndrome (RLS), also known as Willis–Ekbom disease (WED), is a neurological disorder, usually chronic, that causes an overwhelming urge to move one's legs. There is often an unpleasant feeling in the legs that improves temporarily by moving them. This feeling is often described as aching, tingling, or crawling in nature. Occasionally, arms may also be affected. The feelings generally happen when at rest and therefore can make it hard to sleep. Sleep disruption may leave people with RLS sleepy during the day, with low energy, and irritable or depressed. Additionally, many have limb twitching during sleep, a condition known as periodic limb movement disorder (PLMD). RLS is not the same as habitual foot-tapping or leg-rocking.",Maintain regular sleep schedule,Reduce caffeine and alcohol intake,Correct iron deficiency if present,10,80,both,Neurology
scabies,"Scabies is a contagious human skin infestation by the tiny (0.2–0.45 mm) mite Sarcoptes scabiei, variety hominis. It is a particular public health problem in crowded settings such as care homes, schools, refugee camps, prisons, and hospitals. The most common symptoms are severe itchiness and a pimple-like rash. Occasionally, tiny burrows may appear on the skin. In a first-ever infection, symptoms usually develop within two to six weeks. During reinfection, symptoms may begin within 24 hours. The itch is often worse at night.",Apply prescribed permethrin cream to entire body,Wash clothes and bedding in hot water,Treat all close contacts simultaneously,1,80,both,Dermatology
scarlet fever,"Scarlet fever, also known as scarlatina and scarlatiniform rash, is an infectious disease caused by Streptococcus pyogenes, a Group A streptococcus (GAS). It most commonly affects children and young adolescents between five and 15 years of age. The signs and symptoms include a sore throat, fever, headache, swollen lymph nodes, and a characteristic rash.",Complete full course of prescribed antibiotics,Isolate until 24 hours after starting antibiotics,Maintain hand hygiene,3,15,both,Pediatrics
schizophrenia,"Schizophrenia is a mental disorder characterized variously by hallucinations, delusions, disorganized thinking or behavior, and flat or inappropriate affect. Symptoms develop gradually and typically begin during young adulthood and rarely resolve. There is no objective diagnostic test; diagnosis is based on observed behavior, a psychiatric history, and reports of others familiar with the person.",Adhere strictly to antipsychotic medication,Maintain regular psychiatric follow-up,Avoid substance use,15,60,both,Psychiatry
sinusitis,"Sinusitis, also known as rhinosinusitis and commonly known as a sinus infection, is an inflammation of the mucous membranes that line the sinuses resulting in symptoms that may include production of thick nasal mucus, nasal congestion, facial congestion, facial pain, facial pressure, loss of smell, or fever.",Use saline nasal irrigation,Stay hydrated,Avoid allergens and smoke exposure,5,70,both,ENT
strep throat,"Streptococcal pharyngitis, also known as streptococcal sore throat, is pharyngitis caused by Streptococcus pyogenes, a gram-positive, group A streptococcus. Common symptoms include fever, sore throat, red tonsils, and enlarged lymph nodes in the front of the neck.",Complete prescribed antibiotic course,Avoid sharing utensils,Maintain hand hygiene,5,15,both,ENT
stress incontinence,"Stress incontinence, also known as stress urinary incontinence (SUI) or effort incontinence is a form of urinary incontinence. It is due to inadequate closure of the bladder outlet by the urethral sphincter.",Perform regular pelvic floor (Kegel) exercises,Maintain healthy body weight,Limit caffeine intake,20,75,both,Urology
syphilis,"Syphilis is a sexually transmitted infection caused by the bacterium Treponema pallidum subspecies pallidum. The signs and symptoms depend on the stage it presents: primary, secondary, latent or tertiary.",Practice safe sex (condom use),Routine STI screening,Complete full course of penicillin treatment,15,60,both,Infectious Disease
rosacea,"Rosacea is a long-term skin condition that typically affects the face. It results in redness, pimples, swelling, and small and superficial dilated blood vessels.",Avoid sun exposure,Avoid alcohol triggers,Dermatologist-prescribed topical therapy,30,70,both,Dermatology
temporomandibular joint disorder (TMD),"Temporomandibular joint dysfunction is an umbrella term for disorders causing pain and dysfunction of the muscles of mastication and TMJ. Common symptoms include jaw pain, restricted movement, and clicking sounds. Though not life-threatening, chronic pain may impair quality of life.",Avoid hard/chewy foods,Jaw relaxation exercises,Stress management techniques,15,70,both,Dentistry / Maxillofacial
tension headache,Tension-type headache (TTH) is the most common primary headache. Pain typically radiates from neck or scalp muscles and affects both sides of the head. It accounts for nearly 90% of headaches.,Adequate hydration & sleep,Stress reduction practices,Limit screen time & posture correction,10,70,both,Neurology
tendinitis,"Tendinopathy is a tendon disorder causing pain, swelling, and impaired movement, often worse with activity. Commonly affects shoulder, elbow, wrist, hip, knee, or ankle.",Rest affected joint,Ice application 15–20 min,Gradual physiotherapy exercises,15,65,both,Orthopedics
tennis elbow,Lateral epicondylitis is an enthesopathy of the extensor carpi radialis brevis origin causing lateral elbow pain and tenderness. Pain may radiate into the forearm.,Avoid repetitive wrist strain,Use elbow brace,Stretching & strengthening exercises,20,60,both,Orthopedics
tinnitus ,Tinnitus is perception of ringing or noise without external sound stimulus. It may be intermittent or persistent.,Avoid loud noise exposure,Limit caffeine & nicotine,Stress reduction techniques,18,80,both,ENT
tonsillitis,"Tonsillitis is inflammation of the tonsils causing sore throat, fever, difficulty swallowing, and enlarged lymph nodes. Acute cases often viral or bacterial.",Warm saline gargles,Adequate hydration,Complete prescribed antibiotics (if bacterial),3,40,both,ENT
trichomonas infection,Trichomoniasis is a sexually transmitted infection caused by Trichomonas vaginalis. Women are often symptomatic with discharge and irritation; men are frequently asymptomatic.,Practice safe sex (condoms),Treat both partners simultaneously,Complete prescribed metronidazole/tinidazole,16,60,both,Gynecology / STD Clinic
urinary tract infection (UTI),"UTI is infection of urinary tract affecting bladder (cystitis) or kidney (pyelonephritis). Symptoms include dysuria, urgency, lower abdominal pain, and sometimes fever.",Increase fluid intake,Do not delay urination,Complete antibiotic course,1,85,both,Urology
vaginal yeast infection,"Vaginal yeast infection (candidal vulvovaginitis) is overgrowth of yeast causing itching, burning, and thick white discharge.",Keep genital area dry,Avoid unnecessary antibiotics,Use prescribed antifungal therapy fully,15,50,female,Gynecology
vitamin B12 deficiency,Vitamin B12 deficiency is low serum B12 levels leading to anemia and possible neurological symptoms. Risk higher in elderly and vegetarians.,Consume B12-rich foods,Regular blood monitoring,Take prescribed supplements,5,90,both,Internal Medicine
vitamin D deficiency,Vitamin D deficiency impairs bone mineralization causing rickets in children and osteomalacia in adults. Often due to low sun exposure.,15–20 min sunlight daily,Vitamin D supplementation,Calcium-rich diet,0,90,both,Endocrinology
whooping cough,Whooping cough is a highly contagious bacterial respiratory disease with prolonged severe coughing fits lasting weeks.,Vaccination ,Isolate during infection,Complete antibiotic treatment,0,80,both,Infectious Disease
