Symptom,Synonym
eye pain,orbital pain
eye pain,painful eye
eye pain,eye discomfort
eye pain,periorbital pain
eye redness,red eyes
eye redness,ocular redness
eye redness,conjunctival redness
eye redness,bloodshot eyes
eye redness,scleral redness
eye redness,inflamed eyes
eye redness,reddened eyes
eye redness,eye inflammation
eye strain,ocular strain
eye strain,visual fatigue
eye strain,tired eyes
eye strain,eye fatigue
eye strain,asthenopia
eye strain,visual discomfort
eye strain,strained eyes
eye strain,overworked eyes
eyelid redness,red eyelids
eyelid redness,eyelid erythema
eyelid redness,inflamed eyelids
eyelid redness,irritated eyelids
eyelid redness,eyelid inflammation
eyelid redness,reddened eyelids
eyelid redness,lid redness
eyelid redness,swollen red lids
eyelid spasm,blepharospasm
eyelid spasm,eyelid twitch
eyelid spasm,lid twitching
eyelid spasm,involuntary eyelid movement
eyelid spasm,eyelid flutter
eyelid spasm,lid spasms
eyelid spasm,eye twitch
eyelid spasm,eyelid contraction
eyelid swelling,swollen eyelids
eyelid swelling,lid edema
eyelid swelling,eyelid puffiness
eyelid swelling,eyelid inflammation
eyelid swelling,periorbital swelling
eyelid swelling,puffy eyelids
eyelid swelling,lid enlargement
eyelid swelling,inflamed eyelids
facial droop,facial weakness
facial droop,drooping face
facial droop,unilateral facial weakness
facial droop,sagging face
facial droop,facial paralysis
facial droop,asymmetrical face
facial droop,facial muscle weakness
facial droop,face sagging
facial flushing,face flushing
facial flushing,facial warmth
facial flushing,face redness
facial flushing,sudden facial redness
facial flushing,flushed face
facial flushing,skin flushing
facial flushing,hot face
facial flushing,facial blushing
facial pressure,sinus pressure
facial pressure,facial heaviness
facial pressure,cheek pressure
facial pressure,forehead pressure
facial pressure,sinus heaviness
facial pressure,facial tightness
facial pressure,midface pressure
facial pressure,pressure in face
facial redness,red face
facial redness,facial erythema
facial redness,inflamed face
facial redness,facial skin redness
facial redness,flushed skin
facial redness,facial discoloration
facial redness,reddened face
facial redness,facial inflammation
facial tenderness,facial soreness
facial tenderness,tender face
facial tenderness,facial pain on touch
facial tenderness,sensitive face
facial tenderness,cheek tenderness
facial tenderness,facial discomfort
facial tenderness,painful facial area
facial tenderness,localized facial pain
faded colors,color desaturation
faded colors,washed out colors
faded colors,reduced color intensity
faded colors,dull colors
faded colors,color dullness
faded colors,diminished color vibrancy
faded colors,pale colors
faded colors,color fading
fainting spells,syncope episodes
fainting spells,blackout episodes
fainting spells,passing out
fainting spells,transient loss consciousness
fainting spells,sudden collapse
fainting spells,recurrent syncope
fainting spells,brief unconsciousness
fainting spells,fainting attacks
fast breathing,rapid breathing
fast breathing,tachypnea
fast breathing,accelerated respiration
fast breathing,quick breaths
fast breathing,increased respiratory rate
fast breathing,hyperventilation
fast breathing,labored rapid breathing
fast breathing,shallow rapid breaths
fast heartbeat,tachycardia
fast heartbeat,rapid pulse
fast heartbeat,accelerated heart rate
fast heartbeat,pounding heart
fast heartbeat,racing heart
fast heartbeat,increased heart rate
fast heartbeat,heart palpitations
fast heartbeat,cardiac acceleration
fast speech,pressured speech
fast speech,rapid speech
fast speech,hurried speech
fast speech,accelerated talking
fast speech,speech acceleration
fast speech,excessive talking
fast speech,rushed speech
fast speech,verbose speech
fasting,food abstinence
fasting,voluntary starvation
fasting,prolonged hunger
fasting,calorie restriction
fasting,meal abstinence
fasting,religious fast
fasting,therapeutic fasting
fasting,dietary abstinence
fatigue,tiredness
fatigue,exhaustion
fatigue,extreme tiredness
fatigue,low energy
fatigue,lack of energy
fatigue,feeling drained
fatigue,weakness
fatigue,constant tiredness
fatigue,physical exhaustion
fatigue,body tiredness
fever,pyrexia
fever,high temperature
fever,elevated temperature
fever,febrile state
fever,raised body temperature
fever,low grade fever
fever,febrile episode
fever,temperature spike
finger color change,digital discoloration
finger color change,finger pallor
finger color change,cyanotic fingers
finger color change,pale fingers
finger color change,bluish fingers
finger color change,white fingers
finger color change,finger blanching
finger color change,digital color shift
finger pain,digital pain
finger pain,finger ache
finger pain,sore fingers
finger pain,finger soreness
finger pain,painful digit
finger pain,hand digit pain
finger pain,finger discomfort
finger pain,fingertip pain
finger stiffness,stiff fingers
finger stiffness,digital stiffness
finger stiffness,rigid fingers
finger stiffness,reduced finger mobility
finger stiffness,finger rigidity
finger stiffness,limited finger movement
finger stiffness,tight fingers
finger stiffness,finger immobility
firm breast lump,hard breast mass
firm breast lump,solid breast lump
firm breast lump,firm mammary mass
firm breast lump,dense breast nodule
firm breast lump,nonmovable breast lump
firm breast lump,palpable firm mass
firm breast lump,solid chest lump
firm breast lump,hard mammary lump
firm tissue,hardened tissue
firm tissue,indurated tissue
firm tissue,dense tissue
firm tissue,thickened tissue
firm tissue,fibrotic tissue
firm tissue,tissue hardness
firm tissue,tissue induration
firm tissue,compact tissue
flashbacks,intrusive memories
flashbacks,traumatic recall
flashbacks,reliving episodes
flashbacks,vivid recollections
flashbacks,recurring memories
flashbacks,memory intrusions
flashbacks,distressing recollections
flashbacks,past event replay
flat bumps,flat papules
flat bumps,macular lesions
flat bumps,skin macules
flat bumps,level skin lesions
flat bumps,smooth papules
flat bumps,shallow bumps
flat bumps,nonraised lesions
flat bumps,flat skin spots
fluid blisters,vesicles
fluid blisters,fluid filled vesicles
fluid blisters,serous blisters
fluid blisters,skin vesicles
fluid blisters,clear blisters
fluid blisters,blistering lesions
fluid blisters,watery blisters
fluid blisters,epidermal blisters
flushed face,facial flushing
flushed face,reddened face
flushed face,warm face
flushed face,facial erythema
flushed face,blushing face
flushed face,heated face
flushed face,red facial skin
flushed face,facial warmth
fluttering chest,chest palpitations
fluttering chest,cardiac flutter
fluttering chest,heart flutter
fluttering chest,irregular heartbeat
fluttering chest,chest vibration
fluttering chest,racing heart sensation
fluttering chest,rapid heartbeat feeling
fluttering chest,heartbeat irregularity
food impaction,esophageal obstruction
food impaction,bolus obstruction
food impaction,lodged food
food impaction,esophageal blockage
food impaction,swallowed food blockage
food impaction,impacted bolus
food impaction,throat food blockage
food impaction,esophageal impaction
food restriction,dietary restriction
food restriction,restricted intake
food restriction,limited eating
food restriction,caloric limitation
food restriction,eating limitation
food restriction,reduced food intake
food restriction,controlled diet
food restriction,intake restriction
foot numbness,foot tingling
foot numbness,plantar numbness
foot numbness,loss foot sensation
foot numbness,reduced foot sensation
foot numbness,numb soles
foot numbness,foot hypoesthesia
foot numbness,sensory loss foot
foot numbness,paresthesia foot
foot rash,foot dermatitis
foot rash,plantar rash
foot rash,foot skin eruption
foot rash,foot skin irritation
foot rash,foot skin lesions
foot rash,erythematous foot rash
foot rash,scaly foot rash
foot rash,inflamed foot skin
foot redness,red foot
foot redness,plantar redness
foot redness,foot erythema
foot redness,inflamed foot
foot redness,reddened foot skin
foot redness,foot skin inflammation
foot redness,localized foot redness
foot redness,warm red foot
foot stiffness,stiff foot
foot stiffness,reduced foot mobility
foot stiffness,foot rigidity
foot stiffness,limited foot movement
foot stiffness,ankle foot stiffness
foot stiffness,tight foot
foot stiffness,foot immobility
foot stiffness,plantar rigidity
forearm soreness,forearm pain
forearm soreness,arm soreness
forearm soreness,forearm ache
forearm soreness,muscular forearm pain
forearm soreness,tender forearm
forearm soreness,forearm discomfort
forearm soreness,forearm muscle ache
forearm soreness,aching forearm
foreskin swelling,preputial swelling
foreskin swelling,swollen foreskin
foreskin swelling,prepuce enlargement
foreskin swelling,foreskin edema
foreskin swelling,inflamed foreskin
foreskin swelling,preputial inflammation
foreskin swelling,foreskin puffiness
foreskin swelling,prepuce swelling
frequent infections,recurrent infections
frequent infections,repeated infections
frequent infections,recurring illness
frequent infections,infection susceptibility
frequent infections,persistent infections
frequent infections,repeated illness
frequent infections,high infection rate
frequent infections,chronic infections
frequent sinus infections,recurrent sinusitis
frequent sinus infections,repeated sinus infections
frequent sinus infections,chronic sinusitis
frequent sinus infections,recurring sinusitis
frequent sinus infections,persistent sinus infection
frequent sinus infections,sinus infection recurrence
frequent sinus infections,ongoing sinus infection
frequent sinus infections,repeated sinusitis episodes
frequent urination,polyuria
frequent urination,increased urination
frequent urination,urinary frequency
frequent urination,excessive urination
frequent urination,frequent voiding
frequent urination,increased urine output
frequent urination,urinating often
frequent urination,frequent micturition
frothy discharge,foamy discharge
frothy discharge,bubbly discharge
frothy discharge,aerated discharge
frothy discharge,foamy secretion
frothy discharge,bubbly secretion
frothy discharge,frothy fluid
frothy discharge,foamy exudate
frothy discharge,frothy vaginal fluid
fruity breath,acetone breath
fruity breath,sweet breath odor
fruity breath,ketone breath
fruity breath,sweet smelling breath
fruity breath,fruity odor breath
fruity breath,nail polish breath
fruity breath,metabolic breath odor
fruity breath,sugary breath odor
fullness,sense fullness
fullness,abdominal fullness
fullness,bloated feeling
fullness,gastric fullness
fullness,feeling stuffed
fullness,stomach heaviness
fullness,pressure sensation
fullness,postmeal heaviness
gas,flatulence
gas,bloating
gas,intestinal gas
gas,abdominal gas
gas,wind
gas,excessive gas
gas,gaseous distension
gas,gas buildup
genital discharge,genital secretion
genital discharge,abnormal genital fluid
genital discharge,genital exudate
genital discharge,genital fluid leakage
genital discharge,purulent genital fluid
genital discharge,mucosal genital discharge
genital discharge,genital drainage
genital discharge,genital oozing
genital itching,genital pruritus
genital itching,intimate itching
genital itching,vulvar itching
genital itching,penile itching
genital itching,perineal itching
genital itching,genital irritation
genital itching,itchy genitals
genital itching,genital discomfort
genital sores,genital ulcers
genital sores,intimate lesions
genital sores,genital blisters
genital sores,painful genital lesions
genital sores,ulcerative genital lesions
genital sores,genital eruptions
genital sores,vesicular genital lesions
genital sores,intimate sores
gritty feeling,sandy sensation
gritty feeling,foreign body sensation
gritty feeling,scratchy sensation
gritty feeling,sand in eyes
gritty feeling,ocular grittiness
gritty feeling,rough eye feeling
gritty feeling,eye scratchiness
gritty feeling,eye foreign sensation
groin discomfort,inguinal discomfort
groin discomfort,groin pain
groin discomfort,pelvic groin discomfort
groin discomfort,inner thigh discomfort
groin discomfort,inguinal pain
groin discomfort,groin soreness
groin discomfort,groin ache
groin discomfort,tender groin
groin swelling,inguinal swelling
groin swelling,swollen groin
groin swelling,groin enlargement
groin swelling,inguinal mass
groin swelling,groin edema
groin swelling,groin lump
groin swelling,inflamed groin
groin swelling,groin bulge
gum swelling,gingival swelling
gum swelling,swollen gums
gum swelling,gum inflammation
gum swelling,gingival enlargement
gum swelling,gum edema
gum swelling,inflamed gums
gum swelling,gum puffiness
gum swelling,gingival overgrowth
hair loss patches,patchy alopecia
hair loss patches,localized bald spots
hair loss patches,focal hair loss
hair loss patches,spot baldness
hair loss patches,circumscribed alopecia
hair loss patches,scalp bald patches
hair loss patches,partial hair loss
hair loss patches,uneven hair loss
hair thinning,reduced hair density
hair thinning,diffuse thinning
hair thinning,sparse hair
hair thinning,decreased hair volume
hair thinning,fine hair strands
hair thinning,gradual hair thinning
hair thinning,hair miniaturization
hair thinning,low hair density
hallucinations,sensory hallucinations
hallucinations,perceptual disturbances
hallucinations,visual hallucinations
hallucinations,auditory hallucinations
hallucinations,false perceptions
hallucinations,seeing things
hallucinations,hearing voices
hallucinations,psychotic symptoms
halos around lights,light halos
halos around lights,glare rings
halos around lights,luminous rings
halos around lights,light circles
halos around lights,bright light halos
halos around lights,visual halos
halos around lights,ringed lights
halos around lights,rainbow halos
hand numbness,hand tingling
hand numbness,palmar numbness
hand numbness,reduced hand sensation
hand numbness,loss hand feeling
hand numbness,hand hypoesthesia
hand numbness,sensory deficit hand
hand numbness,numb palms
hand numbness,paresthesia hand
hand tremor,hand shaking
hand tremor,tremulous hands
hand tremor,involuntary hand shaking
hand tremor,rhythmic hand movement
hand tremor,shaking hands
hand tremor,hand quivering
hand tremor,fine tremor
hand tremor,action tremor
hand weakness,reduced hand strength
hand weakness,weak hands
hand weakness,diminished grip strength
hand weakness,grip weakness
hand weakness,hand muscle weakness
hand weakness,impaired hand strength
hand weakness,hand fatigue
hand weakness,decreased grip power
hard skin,thickened skin
hard skin,indurated skin
hard skin,calloused skin
hard skin,rough thick skin
hard skin,hardened patches
hard skin,skin thickening
hard skin,leathery skin
hard skin,hyperkeratosis
hard stools,firm stools
hard stools,compact stools
hard stools,pellet stools
hard stools,dry stools
hard stools,lumpy stools
hard stools,difficult stools
hard stools,impacted stool
hard stools,stool hardness
head movement dizziness,motion induced vertigo
head movement dizziness,movement triggered dizziness
head movement dizziness,positional spinning
head movement dizziness,rotation dizziness
head movement dizziness,vestibular vertigo
head movement dizziness,movement related giddiness
head movement dizziness,turning vertigo
head movement dizziness,motion sensitivity dizziness
head tilting,head inclination
head tilting,tilted head posture
head tilting,abnormal head posture
head tilting,head lean
head tilting,neck tilt
head tilting,lateral head tilt
head tilting,crooked head posture
head tilting,head angle deviation
headache,cephalalgia
headache,head pain
headache,cranial pain
headache,throbbing head pain
headache,tension headache
headache,migraine
headache,dull head ache
headache,persistent head pain
hearing loss,auditory loss
hearing loss,reduced hearing ability
hearing loss,partial deafness
hearing loss,impaired audition
hearing loss,diminished hearing capacity
hearing loss,sensorineural loss
hearing loss,conductive loss
hearing loss,decreased sound perception
heartburn,acid indigestion
heartburn,retrosternal burning
heartburn,gastric acidity
heartburn,acid reflux symptoms
heartburn,substernal burning
heartburn,burning chest sensation
heartburn,acid regurgitation
heartburn,esophageal burning
heat intolerance,sensitivity to heat
heat intolerance,poor heat tolerance
heat intolerance,heat sensitivity
heat intolerance,overheating tendency
heat intolerance,thermal intolerance
heat intolerance,excessive heat sensitivity
heat intolerance,difficulty tolerating heat
heat intolerance,heat susceptibility
heavy bleeding,menorrhagia
heavy bleeding,excessive bleeding
heavy bleeding,profuse bleeding
heavy bleeding,increased blood flow
heavy bleeding,prolonged bleeding
heavy bleeding,severe bleeding
heavy bleeding,heavy menstrual flow
heavy bleeding,abnormal heavy bleeding
heel pain,calcaneal pain
heel pain,heel soreness
heel pain,plantar heel pain
heel pain,heel ache
heel pain,painful heel
heel pain,heel tenderness
heel pain,rear foot pain
heel pain,calcaneus pain
height loss,reduced stature
height loss,loss of height
height loss,decreased body height
height loss,shrinking height
height loss,spinal height reduction
height loss,stature decrease
height loss,vertebral height loss
height loss,height reduction
high blood sugar,hyperglycemia
high blood sugar,elevated glucose
high blood sugar,increased blood glucose
high blood sugar,raised sugar levels
high blood sugar,glucose elevation
high blood sugar,uncontrolled glucose
high blood sugar,excessive glucose
high blood sugar,blood glucose rise
high fever,hyperpyrexia
high fever,elevated body temperature
high fever,severe fever
high fever,temperature spike
high fever,febrile episode
high fever,marked fever
high fever,intense fever
high fever,acute fever
hives,urticaria
hives,itchy welts
hives,raised wheals
hives,skin welts
hives,allergic rash
hives,swollen welts
hives,red itchy bumps
hives,transient skin swelling
hoarse voice,dysphonia
hoarse voice,raspy voice
hoarse voice,voice hoarseness
hoarse voice,rough voice
hoarse voice,strained voice
hoarse voice,vocal cord irritation
hoarse voice,breathy voice
hoarse voice,altered voice quality
honey crusts,honey colored crusts
honey crusts,golden crust lesions
honey crusts,crusted impetigo lesions
honey crusts,sticky yellow crusts
honey crusts,golden scabs
honey crusts,yellow crusting
honey crusts,honey scabs
honey crusts,crusted skin plaques
hopeless feeling,despair
hopeless feeling,feeling hopeless
hopeless feeling,sense of despair
hopeless feeling,emotional despair
hopeless feeling,loss of hope
hopeless feeling,deep discouragement
hopeless feeling,pessimistic mood
hopeless feeling,bleak outlook
hot flashes,hot flushes
hot flashes,sudden warmth
hot flashes,heat waves
hot flashes,flushing episodes
hot flashes,sudden sweating
hot flashes,menopausal flushing
hot flashes,warmth surges
hot flashes,transient heat episodes
hunger,appetite
hunger,food craving
hunger,strong appetite
hunger,need to eat
hunger,hunger pangs
hunger,desire for food
hunger,empty stomach feeling
hunger,stomach growling
hypersensitivity,high sensitivity
hypersensitivity,heightened sensitivity
hypersensitivity,increased sensitivity
hypersensitivity,sensory hypersensitivity
hypersensitivity,exaggerated response
hypersensitivity,over sensitivity
hypersensitivity,amplified sensitivity
hypersensitivity,sensitivity excess
hypervigilance,heightened alertness
hypervigilance,excessive alertness
hypervigilance,increased vigilance
hypervigilance,constant alert state
hypervigilance,exaggerated alertness
hypervigilance,over awareness
hypervigilance,persistent watchfulness
hypervigilance,alertness excess
inability maintain erection,erectile dysfunction
inability maintain erection,impotence
inability maintain erection,weak erection
inability maintain erection,erection loss
inability maintain erection,poor erection quality
inability maintain erection,reduced erectile function
inability maintain erection,erection instability
inability maintain erection,erectile impairment
increased hunger,polyphagia
increased hunger,excessive appetite
increased hunger,heightened appetite
increased hunger,constant hunger
increased hunger,persistent hunger
increased hunger,abnormal appetite increase
increased hunger,increased food intake
increased hunger,strong food cravings
infertility,sterility
infertility,inability conceive
infertility,reproductive failure
infertility,impaired fertility
infertility,conception difficulty
infertility,fertility problems
infertility,childbearing inability
infertility,subfertility
infrequent stools,reduced bowel frequency
infrequent stools,constipation tendency
infrequent stools,rare bowel movements
infrequent stools,decreased stool frequency
infrequent stools,prolonged stool interval
infrequent stools,limited defecation
infrequent stools,slow bowel activity
infrequent stools,bowel irregularity
intense itching,severe itching
intense itching,pruritus
intense itching,extreme itchiness
intense itching,persistent itching
intense itching,uncontrollable itching
intense itching,widespread itching
intense itching,skin itching
intense itching,itching sensation
irregular bleeding,abnormal bleeding
irregular bleeding,unpredictable bleeding
irregular bleeding,unscheduled bleeding
irregular bleeding,intermittent bleeding
irregular bleeding,erratic bleeding
irregular bleeding,spotting between periods
irregular bleeding,breakthrough bleeding
irregular bleeding,menstrual irregularity
irregular bowel,bowel irregularity
irregular bowel,erratic stools
irregular bowel,inconsistent stools
irregular bowel,bowel instability
irregular bowel,stool changes
irregular bowel,altered bowel habit
irregular bowel,bowel disturbance
irregular bowel,digestive irregularity
irregular periods,menstrual irregularity
irregular periods,cycle irregularity
irregular periods,uneven cycles
irregular periods,unpredictable periods
irregular periods,abnormal menstrual cycle
irregular periods,missed cycles
irregular periods,inconsistent menstruation
irregular periods,variable cycle length
irregular pulse,arrhythmia
irregular pulse,abnormal heartbeat
irregular pulse,uneven pulse
irregular pulse,cardiac irregularity
irregular pulse,pulse irregularity
irregular pulse,heart rhythm disturbance
irregular pulse,skipped beats
irregular pulse,erratic heartbeat
irritability,mood irritability
irritability,easy anger
irritability,agitation
irritability,mood swings
irritability,short temper
irritability,emotional volatility
irritability,frustration
irritability,temper outbursts
itching,pruritus
itching,itchiness
itching,skin irritation
itching,scratching urge
itching,persistent itch
itching,localized itch
itching,generalized itch
itching,skin pruritus
itching genitals,genital pruritus
itching genitals,intimate itching
itching genitals,vulvar itching
itching genitals,penile itching
itching genitals,perineal itching
itching genitals,genital irritation
itching genitals,itchy genital area
itching genitals,intimate pruritus
itching mouth,oral itching
itching mouth,mouth pruritus
itching mouth,itchy palate
itching mouth,oral irritation
itching mouth,lip itching
itching mouth,tongue itching
itching mouth,throat itching
itching mouth,intraoral itching
itchy eyelids,eyelid pruritus
itchy eyelids,itchy lids
itchy eyelids,lid irritation
itchy eyelids,eyelid itchiness
itchy eyelids,irritated eyelids
itchy eyelids,eyelid discomfort
itchy eyelids,inflamed itchy lids
itchy eyelids,allergic eyelid itching
itchy eyes,ocular pruritus
itchy eyes,eye itchiness
itchy eyes,irritated eyes
itchy eyes,allergic eye itching
itchy eyes,eye pruritus
itchy eyes,eye irritation
itchy eyes,scratchy eyes
itchy eyes,watery itchy eyes
itchy feet,foot itching
itchy feet,plantar itching
itchy feet,foot pruritus
itchy feet,irritated feet
itchy feet,sole itching
itchy feet,foot itchiness
itchy feet,inflamed itchy feet
itchy feet,persistent foot itch
itchy nose,nasal itching
itchy nose,nose pruritus
itchy nose,irritated nose
itchy nose,nasal irritation
itchy nose,nasal itchiness
itchy nose,tickly nose
itchy nose,allergic nasal itching
itchy nose,persistent nasal itch
itchy rash,pruritic rash
itchy rash,itchy eruption
itchy rash,inflamed rash
itchy rash,red itchy rash
itchy rash,irritated rash
itchy rash,skin eruption
itchy rash,allergic rash
itchy rash,itchy skin lesions
itchy skin,pruritic skin
itchy skin,skin itchiness
itchy skin,irritated skin
itchy skin,generalized pruritus
itchy skin,dry itchy skin
itchy skin,inflamed itchy skin
itchy skin,persistent skin itch
itchy skin,skin irritation
jaundice,icterus
jaundice,yellowing skin
jaundice,yellow eyes
jaundice,hyperbilirubinemia
jaundice,scleral icterus
jaundice,bilirubin elevation
jaundice,hepatic jaundice
jaundice,skin yellowing
jaw clicking,jaw popping
jaw clicking,jaw snapping
jaw clicking,temporomandibular clicking
jaw clicking,TMJ clicking
jaw clicking,jaw joint noise
jaw clicking,mandibular clicking
jaw clicking,jaw crackling
jaw clicking,jaw joint popping
jaw pain,mandibular pain
jaw pain,jaw ache
jaw pain,facial jaw pain
jaw pain,TMJ pain
jaw pain,lower face pain
jaw pain,painful jaw
jaw pain,jaw soreness
jaw pain,chewing pain
jaw stiffness,stiff jaw
jaw stiffness,jaw rigidity
jaw stiffness,limited jaw movement
jaw stiffness,jaw tightness
jaw stiffness,restricted jaw opening
jaw stiffness,mandibular stiffness
jaw stiffness,jaw immobility
jaw stiffness,reduced jaw mobility
joint pain,arthralgia
joint pain,painful joints
joint pain,articular pain
joint pain,joint ache
joint pain,inflammatory joint pain
joint pain,musculoskeletal pain
joint pain,rheumatic pain
joint pain,sore joints
joint redness,erythematous joint
joint redness,inflamed joint
joint redness,red swollen joint
joint redness,joint erythema
joint redness,localized joint redness
joint redness,irritated joint
joint redness,reddened joint
joint redness,joint inflammation redness
joint stiffness,stiff joints
joint stiffness,articular stiffness
joint stiffness,reduced joint mobility
joint stiffness,joint rigidity
joint stiffness,limited joint movement
joint stiffness,morning stiffness
joint stiffness,restricted joint motion
joint stiffness,inflexible joints
joint swelling,joint edema
joint swelling,swollen joints
joint swelling,articular swelling
joint swelling,inflamed joints
joint swelling,joint enlargement
joint swelling,puffy joints
joint swelling,effused joint
joint swelling,joint inflammation
joint tenderness,tender joints
joint tenderness,articular tenderness
joint tenderness,painful joint touch
joint tenderness,sensitive joints
joint tenderness,joint soreness
joint tenderness,localized joint pain
joint tenderness,joint sensitivity
joint tenderness,touch sensitive joints
joint warmth,warm joints
joint warmth,heated joint
joint warmth,increased joint temperature
joint warmth,inflamed warm joint
joint warmth,localized warmth
joint warmth,joint heat
joint warmth,warm swollen joint
joint warmth,articular warmth
koplik spots,buccal white spots
koplik spots,measles enanthem
koplik spots,oral mucosal spots
koplik spots,bluish white lesions
koplik spots,cheek mucosa lesions
koplik spots,measles mouth spots
koplik spots,punctate oral lesions
koplik spots,erythematous base spots
language difficulty,speech impairment
language difficulty,aphasia
language difficulty,expressive deficit
language difficulty,communication difficulty
language difficulty,word finding difficulty
language difficulty,receptive language deficit
language difficulty,impaired communication
language difficulty,language processing problem
leg cramps,muscle spasms leg
leg cramps,leg muscle cramps
leg cramps,calf spasms
leg cramps,painful leg spasms
leg cramps,nocturnal leg cramps
leg cramps,leg muscle tightening
leg cramps,sudden leg pain
leg cramps,lower limb cramps
leg discomfort,lower limb discomfort
leg discomfort,leg uneasiness
leg discomfort,aching leg
leg discomfort,leg soreness
leg discomfort,limb discomfort
leg discomfort,dull leg pain
leg discomfort,leg heaviness
leg discomfort,leg irritation
leg numbness,lower limb numbness
leg numbness,leg tingling
leg numbness,reduced leg sensation
leg numbness,numb lower limb
leg numbness,leg hypoesthesia
leg numbness,sensory loss leg
leg numbness,paresthesia leg
leg numbness,leg sensory deficit
leg redness,red leg
leg redness,leg erythema
leg redness,inflamed leg
leg redness,reddened lower limb
leg redness,localized leg redness
leg redness,warm red leg
leg redness,skin redness leg
leg redness,leg inflammation
leg swelling,lower limb swelling
leg swelling,leg edema
leg swelling,swollen leg
leg swelling,limb swelling
leg swelling,puffy leg
leg swelling,leg enlargement
leg swelling,peripheral edema
leg swelling,fluid retention leg
leg tenderness,tender leg
leg tenderness,lower limb tenderness
leg tenderness,sore leg
leg tenderness,leg pain on touch
leg tenderness,sensitive leg
leg tenderness,localized leg pain
leg tenderness,leg soreness touch
leg tenderness,painful lower limb
leg twitching,leg muscle twitch
leg twitching,involuntary leg movement
leg twitching,leg jerking
leg twitching,muscle fasciculation leg
leg twitching,leg spasms
leg twitching,rhythmic leg movement
leg twitching,leg muscle jerks
leg twitching,twitching lower limb
limited movement,reduced mobility
limited movement,restricted motion
limited movement,impaired mobility
limited movement,decreased range motion
limited movement,motion limitation
limited movement,mobility restriction
limited movement,stiffness limiting movement
limited movement,limited joint motion
lip swelling,swollen lips
lip swelling,lip edema
lip swelling,lip enlargement
lip swelling,inflamed lips
lip swelling,lip puffiness
lip swelling,angioedema lips
lip swelling,lip inflammation
lip swelling,puffy lips
loss awareness,impaired awareness
loss awareness,reduced consciousness
loss awareness,altered awareness
loss awareness,diminished alertness
loss awareness,decreased responsiveness
loss awareness,impaired consciousness
loss awareness,awareness deficit
loss awareness,mental unresponsiveness
loss balance,balance instability
loss balance,unsteadiness
loss balance,disequilibrium
loss balance,postural instability
loss balance,impaired equilibrium
loss balance,balance impairment
loss balance,unstable gait
loss balance,loss of stability
loss interest,lack interest
loss interest,anhedonia
loss interest,reduced motivation
loss interest,diminished interest
loss interest,apathy
loss interest,disinterest
loss interest,emotional withdrawal
loss interest,motivational decline
loss of smell,anosmia
loss of smell,impaired smell
loss of smell,reduced olfaction
loss of smell,smell impairment
loss of smell,olfactory dysfunction
loss of smell,no sense smell
loss of smell,diminished smell
loss of smell,smell deficit
loss of vision,blindness
loss of vision,visual loss
loss of vision,vision impairment
loss of vision,impaired sight
loss of vision,sight loss
loss of vision,visual deficit
loss of vision,complete vision loss
loss of vision,visual failure
loud snoring,heavy snoring
loud snoring,noisy breathing sleep
loud snoring,intense snoring
loud snoring,disruptive snoring
loud snoring,chronic snoring
loud snoring,harsh snoring
loud snoring,sleep snoring
loud snoring,thunderous snoring
low desire,decreased libido
low desire,reduced sexual desire
low desire,diminished libido
low desire,sexual disinterest
low desire,poor libido
low desire,lack sexual interest
low desire,libido decline
low desire,reduced sex drive
low mood,depressed mood
low mood,sadness
low mood,feeling down
low mood,emotional low
low mood,gloomy mood
low mood,persistent sadness
low mood,mood decline
low mood,melancholy
low stamina,reduced endurance
low stamina,decreased endurance
low stamina,poor endurance
low stamina,limited stamina
low stamina,reduced physical capacity
low stamina,easy fatigability
low stamina,diminished endurance
low stamina,weak endurance
low urine,oliguria
low urine,reduced urine output
low urine,decreased urination
low urine,scanty urine
low urine,minimal urination
low urine,urine output reduction
low urine,low urinary output
low urine,limited urine production
lump awareness,palpable lump
lump awareness,feeling a lump
lump awareness,noticeable mass
lump awareness,detectable swelling
lump awareness,awareness of mass
lump awareness,felt nodule
lump awareness,perceivable lump
lump awareness,sensed swelling
lump near anus,perianal lump
lump near anus,anal mass
lump near anus,rectal lump
lump near anus,perirectal swelling
lump near anus,anal nodule
lump near anus,perianal swelling
lump near anus,rectal mass
lump near anus,anal bulge
lumpy breasts,nodular breasts
lumpy breasts,breast nodularity
lumpy breasts,fibrocystic breasts
lumpy breasts,uneven breast tissue
lumpy breasts,bumpy breasts
lumpy breasts,breast lumpiness
lumpy breasts,irregular breast texture
lumpy breasts,fibrous breast tissue
memory decline,cognitive decline
memory decline,declining memory
memory decline,reduced memory
memory decline,impaired memory
memory decline,memory deterioration
memory decline,worsening memory
memory decline,cognitive impairment
memory decline,forgetfulness increase
memory loss,amnesia
memory loss,forgetfulness
memory loss,impaired recall
memory loss,loss of memory
memory loss,memory impairment
memory loss,short term memory loss
memory loss,long term memory loss
memory loss,recall deficit
menstrual pain,dysmenorrhea
menstrual pain,period cramps
menstrual pain,painful menstruation
menstrual pain,uterine cramps
menstrual pain,lower abdominal cramps
menstrual pain,pelvic cramps
menstrual pain,period pain
menstrual pain,menstrual cramping
mild bleeding,light bleeding
mild bleeding,slight bleeding
mild bleeding,minimal bleeding
mild bleeding,scant bleeding
mild bleeding,low volume bleeding
